Country,Year,Female Enrollment (%),Female Graduation Rate (%),STEM Fields,Gender Gap Index,gdp_per_capita_usd,_merge
China,2018,20.4,43.2,Engineering,0.52,10085.6638148819,both
China,2005,35.6,29.3,Mathematics,0.98,1777.64496828464,both
China,2005,53.7,32.4,Biology,0.6,1777.64496828464,both
Germany,2007,65.0,63.6,Mathematics,0.69,42350.9217211489,both
Canada,2010,54.4,28.8,Engineering,0.74,47560.6666009406,both
India,2001,53.0,54.5,Computer Science,0.54,450.357900514128,both
Canada,2002,69.0,23.2,Engineering,0.86,24256.0192337185,both
India,2000,29.5,38.1,Engineering,0.9,442.750218937263,both
USA,2014,57.1,35.7,Biology,0.61,,left_only
China,2020,36.7,64.3,Computer Science,0.96,10627.4637989619,both
Australia,2004,39.9,41.9,Mathematics,0.69,30886.0500949401,both
USA,2023,32.4,11.0,Computer Science,0.52,,left_only
Australia,2000,68.0,31.3,Engineering,0.51,21908.9968019784,both
USA,2001,63.2,50.5,Mathematics,0.57,,left_only
China,2005,29.1,50.5,Biology,0.63,1777.64496828464,both
India,2001,48.7,21.2,Mathematics,0.51,450.357900514128,both
China,2005,60.1,54.8,Engineering,0.83,1777.64496828464,both
China,2020,63.6,62.4,Engineering,0.81,10627.4637989619,both
Germany,2012,40.0,56.3,Computer Science,0.66,44718.0159214069,both
USA,2007,55.7,30.1,Biology,0.82,,left_only
Germany,2016,39.3,64.9,Engineering,0.62,42948.9381932694,both
Australia,2001,32.5,51.6,Mathematics,0.92,19733.6510102645,both
USA,2014,41.8,50.0,Engineering,0.85,,left_only
USA,2021,32.5,55.9,Biology,0.63,,left_only
China,2023,53.7,43.6,Engineering,0.6,12951.1782397043,both
China,2016,27.8,43.6,Biology,0.72,8254.86859320357,both
Canada,2013,69.1,32.9,Engineering,0.54,52638.1187235237,both
China,2014,56.0,56.2,Engineering,0.93,7781.06597484974,both
India,2015,21.6,23.2,Mathematics,0.99,1583.99815907985,both
Australia,2001,24.5,43.8,Mathematics,0.58,19733.6510102645,both
China,2010,60.7,11.5,Mathematics,0.74,4629.24551710077,both
China,2005,46.2,47.9,Computer Science,0.95,1777.64496828464,both
Germany,2019,41.0,17.0,Engineering,0.7,47656.199739747,both
India,2000,42.4,40.4,Mathematics,0.66,442.750218937263,both
India,2016,45.3,40.6,Engineering,0.69,1707.50892912243,both
Canada,2005,47.6,64.0,Mathematics,0.78,36383.6600068095,both
India,2003,34.6,15.1,Mathematics,0.84,544.143133545002,both
Australia,2002,43.4,58.8,Mathematics,0.63,20335.0960191023,both
Australia,2021,29.0,54.3,Computer Science,0.85,60758.9044397144,both
Germany,2023,36.4,24.5,Computer Science,0.82,54776.7668235491,both
Australia,2007,33.5,24.5,Computer Science,0.53,41128.2476618402,both
USA,2018,38.4,33.3,Biology,0.63,,left_only
USA,2010,45.5,40.2,Biology,0.63,,left_only
China,2005,36.1,38.7,Computer Science,0.71,1777.64496828464,both
Australia,2006,64.6,59.7,Engineering,0.76,36658.8243476122,both
Canada,2009,37.9,51.9,Engineering,0.6,40874.8831932903,both
China,2015,42.9,64.8,Biology,0.8,8175.33285077393,both
Germany,2023,20.9,63.9,Computer Science,0.92,54776.7668235491,both
Australia,2015,46.4,27.4,Mathematics,0.8,56970.3613028094,both
Germany,2022,38.8,17.1,Mathematics,0.63,50506.5179638543,both
Australia,2018,62.3,51.5,Computer Science,0.7,57410.1737346009,both
India,2013,42.3,11.5,Biology,0.87,1432.84397512195,both
China,2015,20.8,23.9,Engineering,0.9,8175.33285077393,both
USA,2023,38.0,39.4,Biology,0.75,,left_only
China,2005,37.6,47.4,Biology,0.72,1777.64496828464,both
India,2023,60.8,50.1,Biology,0.77,2530.12031278204,both
China,2013,65.8,26.9,Computer Science,0.71,7147.03518622344,both
Canada,2016,23.4,21.6,Engineering,0.99,42314.0615817218,both
Australia,2010,60.9,53.2,Engineering,0.75,52313.8939041213,both
China,2011,31.3,53.6,Engineering,0.71,5703.76027973346,both
China,2023,33.4,45.7,Mathematics,0.61,12951.1782397043,both
China,2006,42.4,10.8,Engineering,0.66,2129.25696999613,both
Canada,2023,33.2,18.0,Engineering,0.6,54220.3285039875,both
India,2015,56.9,63.8,Engineering,0.69,1583.99815907985,both
Australia,2008,54.9,27.8,Mathematics,0.64,49811.2067218988,both
USA,2007,35.2,19.8,Biology,0.96,,left_only
Germany,2023,37.3,49.3,Computer Science,0.83,54776.7668235491,both
Australia,2008,27.2,61.5,Mathematics,0.57,49811.2067218988,both
Germany,2010,29.5,10.9,Biology,0.98,42396.9665976293,both
USA,2002,37.5,17.7,Engineering,0.63,,left_only
Canada,2023,21.0,62.7,Biology,0.98,54220.3285039875,both
Canada,2009,23.2,59.0,Biology,0.77,40874.8831932903,both
Germany,2016,60.5,48.9,Engineering,0.63,42948.9381932694,both
Australia,2012,31.5,16.2,Mathematics,0.56,68301.4402512587,both
Canada,2008,63.7,33.9,Mathematics,0.57,46710.2526864484,both
USA,2007,52.0,28.1,Biology,0.52,,left_only
China,2017,55.3,19.2,Engineering,0.57,8979.67652709856,both
Australia,2014,33.3,36.6,Mathematics,0.73,62817.2061751737,both
India,2022,69.5,31.6,Engineering,0.74,2347.44829434623,both
Germany,2020,31.9,44.5,Biology,0.58,47394.8734504469,both
Germany,2022,22.9,44.9,Engineering,0.72,50506.5179638543,both
Germany,2015,20.6,61.9,Engineering,0.92,41929.7549110722,both
India,2001,37.7,23.4,Computer Science,0.62,450.357900514128,both
USA,2003,30.9,48.1,Mathematics,0.63,,left_only
India,2004,23.3,56.6,Engineering,0.73,624.258826510066,both
USA,2022,62.9,45.7,Biology,0.67,,left_only
Australia,2006,24.3,30.2,Mathematics,0.92,36658.8243476122,both
India,2022,35.6,19.6,Engineering,0.65,2347.44829434623,both
USA,2023,52.5,22.7,Biology,0.65,,left_only
Australia,2012,50.3,16.6,Computer Science,0.93,68301.4402512587,both
Germany,2006,61.9,45.1,Mathematics,0.82,36980.3349948954,both
Australia,2015,63.6,63.8,Mathematics,0.74,56970.3613028094,both
Australia,2003,25.7,36.9,Computer Science,0.54,23757.5898471684,both
Germany,2007,41.1,51.3,Computer Science,0.85,42350.9217211489,both
Canada,2000,58.1,16.2,Biology,0.97,24271.0020563821,both
India,2004,51.5,28.1,Mathematics,0.8,624.258826510066,both
Australia,2021,37.7,16.3,Biology,1.0,60758.9044397144,both
China,2007,28.0,17.6,Mathematics,0.88,2734.72709877693,both
USA,2016,38.7,12.6,Engineering,0.95,,left_only
